FID;id;nom_comm;insee_comm;superficie;population;insee_dep;nom_comm_1;nouvelles;EPCI;INSEE_ID
292;BDCSURCO0000000009598411;La Lande-Chasles;49171;519;115;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49171
293;BDCSURCO0000000009597544;Lézigné;49174;927;774;49; ; ;Communauté de communes Anjou Loir et Sarthe;49174
294;BDCSURCO0000000009597555;Le Lion-d'Angers;49176;4851;4665;49;Le Lion-d'Angers;CN;Communauté de communes Vallées du Haut-Anjou;49176
295;BDCSURCO0000000009597558;Loiré;49178;3420;879;49; ; ;Anjou Bleu Communauté;49178
296;BDCSURCO0000000009599012;Longué-Jumelles;49180;9655;6836;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49180
297;BDCSURCO0000000009599596;Louresse-Rochemenier;49182;2599;805;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49182
298;BDCSURCO0000000009598153;Val d’Erdre-Auxence;49183;13130;4755;49;Val d’Erdre-Auxence;CN;Communauté de communes Vallées du Haut-Anjou;49183
299;BDCSURCO0000000009597850;Marcé;49188;2118;852;49; ; ;Communauté de communes Anjou Loir et Sarthe;49188
300;BDCSURCO0000000009600616;Maulévrier;49192;3370;3147;49; ; ;Agglomération du Choletais;49192
301;BDCSURCO0000000009600126;Le May-sur-Evre;49193;3186;3899;49; ; ;Agglomération du Choletais;49193
302;BDCSURCO0000000009598415;Mazé-Milon;49194;4188;5676;49;Mazé-Milon;CN;Communauté de communes Beaugeois Vallée;49194
303;BDCSURCO0000000009600383;Mazières-en-Mauges;49195;892;1066;49; ; ;Agglomération du Choletais;49195
304;BDCSURCO0000000009597860;Longuenée-en-Anjou;49200;5474;6290;49;Longuenée-en-Anjou;CN;Communauté Urbaine d'Angers Loire Métropole;49200
305;BDCSURCO0000000009598706;La Ménitré;49201;1786;2106;49; ; ;Communauté de communes Beaugeois Vallée;49201
306;BDCSURCO0000000009596870;Miré;49205;1793;1033;49; ; ;Communauté de communes Vallées du Haut-Anjou;49205
307;BDCSURCO0000000009597539;Montigné-lès-Rairies;49209;915;398;49; ; ;Communauté de communes Anjou Loir et Sarthe;49209
308;BDCSURCO0000000009599876;Montilliers;49211;2645;1215;49; ; ;Agglomération du Choletais;49211
309;BDCSURCO0000000009598146;Montreuil-Juigné;49214;1444;7399;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49214
310;BDCSURCO0000000009600111;Montreuil-Bellay;49215;4941;4003;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49215
311;BDCSURCO0000000009597852;Montreuil-sur-Loir;49216;1210;526;49; ; ;Communauté de communes Anjou Loir et Sarthe;49216
312;BDCSURCO0000000009597553;Montreuil-sur-Maine;49217;1152;713;49; ; ;Communauté de communes Vallées du Haut-Anjou;49217
